case_id,dataset,fault_type,root_cause_service,raw_rank,observed_ar_rank,counterfactual_ar_rank,stationary_ar_rank,stationary_counterfactual_ar_rank,stationary_counterfactual_ar_uncertainty_rank
re1_tt__ts-route-service_mem__3,re1_tt,mem,ts-route-service,1,1,1,1,1,1
re1_tt__ts-route-service_mem__4,re1_tt,mem,ts-route-service,1,1,1,1,1,1
re1_tt__ts-route-service_mem__5,re1_tt,mem,ts-route-service,1,1,1,1,1,1
re1_tt__ts-train-service_cpu__1,re1_tt,cpu,ts-train-service,1,1,1,1,1,1
re1_tt__ts-train-service_cpu__2,re1_tt,cpu,ts-train-service,1,1,1,1,1,1
re1_tt__ts-train-service_cpu__3,re1_tt,cpu,ts-train-service,1,1,1,1,1,1
re1_tt__ts-train-service_cpu__4,re1_tt,cpu,ts-train-service,1,1,1,1,1,1
re1_tt__ts-train-service_cpu__5,re1_tt,cpu,ts-train-service,1,1,1,1,1,1
re1_tt__ts-train-service_delay__1,re1_tt,delay,ts-train-service,4,2,4,2,4,3
re1_tt__ts-train-service_delay__2,re1_tt,delay,ts-train-service,2,2,2,2,2,2
re1_tt__ts-train-service_delay__3,re1_tt,delay,ts-train-service,5,3,5,3,5,4
re1_tt__ts-train-service_delay__4,re1_tt,delay,ts-train-service,4,4,4,4,4,4
re1_tt__ts-train-service_delay__5,re1_tt,delay,ts-train-service,7,6,7,6,7,6
re1_tt__ts-train-service_disk__1,re1_tt,disk,ts-train-service,2,4,2,4,2,2
re1_tt__ts-train-service_disk__2,re1_tt,disk,ts-train-service,2,2,1,2,1,2
re1_tt__ts-train-service_disk__3,re1_tt,disk,ts-train-service,1,1,1,1,1,1
re1_tt__ts-train-service_disk__4,re1_tt,disk,ts-train-service,1,2,1,2,1,1
re1_tt__ts-train-service_disk__5,re1_tt,disk,ts-train-service,1,2,1,2,1,1
re1_tt__ts-train-service_loss__1,re1_tt,loss,ts-train-service,5,4,6,4,6,4
re1_tt__ts-train-service_loss__2,re1_tt,loss,ts-train-service,3,2,3,2,3,2
re1_tt__ts-train-service_loss__3,re1_tt,loss,ts-train-service,3,1,4,1,4,2
re1_tt__ts-train-service_loss__4,re1_tt,loss,ts-train-service,5,1,5,1,6,2
re1_tt__ts-train-service_loss__5,re1_tt,loss,ts-train-service,4,1,5,2,5,4
re1_tt__ts-train-service_mem__1,re1_tt,mem,ts-train-service,1,1,1,1,1,1
re1_tt__ts-train-service_mem__2,re1_tt,mem,ts-train-service,1,1,1,1,1,1
re1_tt__ts-train-service_mem__3,re1_tt,mem,ts-train-service,1,1,1,1,1,1
re1_tt__ts-train-service_mem__4,re1_tt,mem,ts-train-service,1,1,1,1,1,1
re1_tt__ts-train-service_mem__5,re1_tt,mem,ts-train-service,1,1,1,1,1,1
re1_tt__ts-travel-service_cpu__1,re1_tt,cpu,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_cpu__2,re1_tt,cpu,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_cpu__3,re1_tt,cpu,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_cpu__4,re1_tt,cpu,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_cpu__5,re1_tt,cpu,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_delay__1,re1_tt,delay,ts-travel-service,9,10,7,10,6,8
re1_tt__ts-travel-service_delay__2,re1_tt,delay,ts-travel-service,21,14,10,14,10,11
re1_tt__ts-travel-service_delay__3,re1_tt,delay,ts-travel-service,2,1,2,1,2,2
re1_tt__ts-travel-service_delay__4,re1_tt,delay,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_delay__5,re1_tt,delay,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_disk__1,re1_tt,disk,ts-travel-service,1,2,1,2,1,1
re1_tt__ts-travel-service_disk__2,re1_tt,disk,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_disk__3,re1_tt,disk,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_disk__4,re1_tt,disk,ts-travel-service,2,2,2,2,2,2
re1_tt__ts-travel-service_disk__5,re1_tt,disk,ts-travel-service,1,2,1,2,1,1
re1_tt__ts-travel-service_loss__1,re1_tt,loss,ts-travel-service,4,5,3,5,3,4
re1_tt__ts-travel-service_loss__2,re1_tt,loss,ts-travel-service,35,32,43,32,34,40
re1_tt__ts-travel-service_loss__3,re1_tt,loss,ts-travel-service,4,3,3,3,3,2
re1_tt__ts-travel-service_loss__4,re1_tt,loss,ts-travel-service,3,2,1,2,1,1
re1_tt__ts-travel-service_loss__5,re1_tt,loss,ts-travel-service,8,7,3,7,3,2
re1_tt__ts-travel-service_mem__1,re1_tt,mem,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_mem__2,re1_tt,mem,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_mem__3,re1_tt,mem,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_mem__4,re1_tt,mem,ts-travel-service,1,1,1,1,1,1
re1_tt__ts-travel-service_mem__5,re1_tt,mem,ts-travel-service,1,1,1,1,1,1
