case_id,dataset,fault_type,root_cause_service,raw_rank,stationary_counterfactual_ar_uncertainty_rank,direct_ar_bayes_factor_rank,intercept_shift_ar_bayes_factor_rank
re1_tt__ts-travel-service_cpu__4,re1_tt,cpu,ts-travel-service,1,1,3,1
re1_tt__ts-travel-service_cpu__5,re1_tt,cpu,ts-travel-service,1,1,1,1
re1_tt__ts-travel-service_delay__1,re1_tt,delay,ts-travel-service,9,8,29,8
re1_tt__ts-travel-service_delay__2,re1_tt,delay,ts-travel-service,21,11,25,8
re1_tt__ts-travel-service_delay__3,re1_tt,delay,ts-travel-service,2,2,6,1
re1_tt__ts-travel-service_delay__4,re1_tt,delay,ts-travel-service,1,1,16,1
re1_tt__ts-travel-service_delay__5,re1_tt,delay,ts-travel-service,1,1,7,1
re1_tt__ts-travel-service_disk__1,re1_tt,disk,ts-travel-service,1,1,1,5
re1_tt__ts-travel-service_disk__2,re1_tt,disk,ts-travel-service,1,1,1,1
re1_tt__ts-travel-service_disk__3,re1_tt,disk,ts-travel-service,1,1,1,2
re1_tt__ts-travel-service_disk__4,re1_tt,disk,ts-travel-service,2,2,1,1
re1_tt__ts-travel-service_disk__5,re1_tt,disk,ts-travel-service,1,1,1,3
re1_tt__ts-travel-service_loss__1,re1_tt,loss,ts-travel-service,4,4,15,3
re1_tt__ts-travel-service_loss__2,re1_tt,loss,ts-travel-service,35,40,40,42
re1_tt__ts-travel-service_loss__3,re1_tt,loss,ts-travel-service,4,2,17,1
re1_tt__ts-travel-service_loss__4,re1_tt,loss,ts-travel-service,3,1,15,1
re1_tt__ts-travel-service_loss__5,re1_tt,loss,ts-travel-service,8,2,17,1
re1_tt__ts-travel-service_mem__1,re1_tt,mem,ts-travel-service,1,1,1,3
re1_tt__ts-travel-service_mem__2,re1_tt,mem,ts-travel-service,1,1,3,2
re1_tt__ts-travel-service_mem__3,re1_tt,mem,ts-travel-service,1,1,1,1
re1_tt__ts-travel-service_mem__4,re1_tt,mem,ts-travel-service,1,1,1,3
re1_tt__ts-travel-service_mem__5,re1_tt,mem,ts-travel-service,1,1,2,1
